lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_Activation_precision,pooled_Activation_recall,pooled_Activation_f1,pooled_Repression_precision,pooled_Repression_recall,pooled_Repression_f1,pooled_None_precision,pooled_None_recall,pooled_None_f1
0.0001,20,0.5292998016890091,0.011108889275667158,0.514251776150263,0.010608419926400683,0.5292981326464906,0.5153910071393005,0.5146723752904381,0.5144251076853236,0.5249332850599858,0.5292981326464906,0.5265719950023023,0.5610859728506787,0.5904761904761905,0.5754060324825986,0.4159891598915989,0.36987951807228914,0.39158163265306123,0.5690978886756238,0.5836614173228346,0.576287657920311
0.0001,50,0.5357394721717383,0.014671358872136785,0.5188862025256008,0.013947718443179295,0.5357372826786864,0.5204975825969528,0.5194723024079821,0.5190393786867699,0.5301575372883708,0.5357372826786864,0.5320857193971327,0.5613905325443787,0.6023809523809524,0.5811638591117917,0.41283124128312415,0.3566265060240964,0.3826761473820297,0.5872709739633558,0.5994094488188977,0.5932781295664881
1e-05,8,0.41628997934044765,0.012207069013228199,0.408375336108293,0.01247131043752213,0.41629104958145524,0.40923436077449166,0.40918282554038177,0.40887368116262596,0.42007964831752015,0.41629104958145524,0.41786946349506165,0.47822445561139026,0.4531746031746032,0.46536267318663405,0.31863285556780596,0.3481927710843373,0.33275762809441567,0.43084577114427863,0.42618110236220474,0.4285007422068283
1e-05,12,0.4275636743971708,0.015573289891322872,0.4192286577654715,0.015405431752649317,0.42755956213779783,0.41990420337789636,0.4198797815935659,0.4196503531216245,0.430760323861381,0.42755956213779783,0.42893376905402153,0.48756218905472637,0.4666666666666667,0.4768856447688564,0.32737430167597764,0.3530120481927711,0.3397101449275362,0.44477611940298506,0.43996062992125984,0.44235526966848093
1e-05,20,0.45557678466947304,0.01789450518309866,0.446098801880119,0.01827704231710212,0.45556986477784933,0.4464144444493901,0.4465534303192021,0.44637411784627484,0.4577243774426637,0.45556986477784933,0.45654080796059776,0.5155737704918033,0.4992063492063492,0.507258064516129,0.3482758620689655,0.3650602409638554,0.3564705882352941,0.47539370078740156,0.47539370078740156,0.47539370078740156
1e-05,50,0.5000020711330652,0.010607225697362022,0.48793119477636715,0.012704155812035751,0.5,0.4883393775060605,0.48886930047398697,0.4884552890517733,0.4982762999985782,0.5,0.49900668821933736,0.5440126883425852,0.5444444444444444,0.5442284807616026,0.39543726235741444,0.3759036144578313,0.38542310067943175,0.5255681818181818,0.5462598425196851,0.5357142857142857
1e-06,8,0.35447494187882833,0.010641003751209615,0.3468072225917821,0.011252581849959946,0.354475209272376,0.34737861066808434,0.34750656167979005,0.3472754930652559,0.35694155179065534,0.354475209272376,0.3555401705135694,0.42,0.4,0.4097560975609756,0.28295454545454546,0.3,0.2912280701754386,0.3391812865497076,0.3425196850393701,0.34084231145935356
1e-06,12,0.36027100776157117,0.010422958630389252,0.3532995884060983,0.01022694967779977,0.36027044430135224,0.35406669599433,0.35418725269783047,0.35372718659554314,0.3639846097279746,0.36027044430135224,0.36175304436810796,0.42833052276559863,0.4031746031746032,0.4153720359771055,0.2858695652173913,0.3168674698795181,0.30057142857142854,0.348,0.3425196850393701,0.34523809523809523
1e-06,20,0.37121383931114116,0.010594760237824692,0.36429870297104816,0.010715074905427124,0.371216999356085,0.36549327269711,0.3653349054259784,0.3647555678277974,0.376137122547204,0.371216999356085,0.373073706207136,0.443500424808836,0.4142857142857143,0.428395568321707,0.290084388185654,0.3313253012048193,0.3093363329583802,0.36289500509684,0.35039370078740156,0.35653480220330497
1e-06,50,0.3950386007425012,0.01632668244296703,0.3882164133021431,0.016225755245445405,0.3950418544752093,0.3895141034675918,0.38923470409572297,0.388684485970406,0.4004681971018694,0.3950418544752093,0.3971129756901868,0.4641025641025641,0.430952380952381,0.4469135802469136,0.3044397463002114,0.3469879518072289,0.32432432432432434,0.4,0.38976377952755903,0.3948155533399801
