lr,epochs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,pooled_accuracy,pooled_macro avg_precision,pooled_macro avg_recall,pooled_macro avg_f1-score,pooled_weighted avg_precision,pooled_weighted avg_recall,pooled_weighted avg_f1-score,pooled_None_precision,pooled_None_recall,pooled_None_f1,pooled_Relationship_precision,pooled_Relationship_recall,pooled_Relationship_f1
0.0001,20,0.6966434452184928,0.02981548928748556,0.6842690746984619,0.042050451418363985,0.6966434452184928,0.7008088039005027,0.6967608787532134,0.6951423357004612,0.7008571086845046,0.6966434452184928,0.6951071111088829,0.6714729370008873,0.7680791677239279,0.7165345011243934,0.7301446708001181,0.6254425897824988,0.6737501702765291
0.0001,50,0.660291323622546,0.05466420062041474,0.6223426321429197,0.08606281749735473,0.660291323622546,0.6856007764663455,0.6599858984769919,0.6480396632412972,0.6854885968253741,0.660291323622546,0.6481477905902152,0.7537283353486497,0.47449885815782794,0.5823730924945499,0.6174732175840414,0.8454729387961558,0.7137062339880444
1e-05,8,0.5888537048765041,0.011639169102125533,0.5667756385743228,0.02627020685999205,0.5888537048765041,0.6073500865528426,0.5891925501552553,0.5708516008081943,0.6074241404369795,0.5888537048765041,0.5707068714619432,0.5623765930712619,0.7949758944430347,0.6587468460891506,0.6523235800344234,0.38340920586747596,0.482956355527238
1e-05,12,0.5873337555414819,0.02338834986717424,0.535117680013277,0.04645899976178119,0.5873337555414819,0.6490036689886189,0.5868020487316907,0.5389741854751948,0.6488465019870873,0.5873337555414819,0.5392200495388874,0.7444523979957051,0.26389241309312356,0.38965904833270887,0.5535549399815328,0.909711684370258,0.6882893226176808
1e-05,20,0.585940468651045,0.0226098672442657,0.5202388767701327,0.041054662431315996,0.585940468651045,0.6815308704059677,0.5853413917498582,0.5223840312010604,0.6813146401601328,0.585940468651045,0.5226709178978832,0.8128491620111732,0.22151738137528545,0.3481555333998006,0.5502125788007624,0.9491654021244309,0.6966125290023202
1e-05,50,0.6804306523115896,0.009534241553671333,0.6694401999346994,0.013758447004237496,0.6804306523115896,0.7060354050555498,0.6801392555879546,0.669963504935838,0.7059164833743524,0.6804306523115896,0.6700602851036082,0.7782574568288854,0.5031717838112154,0.6111881645862228,0.6338133532822143,0.857106727364694,0.7287388452854532
1e-06,8,0.5366687777074098,0.0106170029586806,0.536175420256887,0.01087840387257666,0.5366687777074097,0.5367407880684681,0.5366220544123443,0.5362717843752136,0.5367387031359653,0.5366687777074097,0.5362941259913112,0.5380069836153639,0.5082466379091601,0.5227035490605428,0.5354745925215724,0.5649974709155285,0.5498400196898843
1e-06,12,0.5411019632678912,0.010145653904750248,0.5391338914931858,0.010184754750393422,0.5411019632678911,0.5419033404976082,0.5412081297263108,0.5392391094569613,0.5419135842576734,0.5411019632678911,0.5391908682228137,0.5356822262118492,0.605683836589698,0.5685363820412052,0.5481244547833672,0.4767324228629236,0.5099418368727174
1e-06,20,0.5549081697276759,0.014757126090883064,0.5464155712501808,0.01597395503110722,0.5549081697276758,0.5594986427660893,0.5551313782695364,0.5466903381536423,0.5595265418542144,0.5549081697276758,0.5465898378615799,0.542555311939406,0.6906876427302715,0.6077249386023666,0.5764419735927727,0.4195751138088012,0.48565573770491804
1e-06,50,0.6007599746675111,0.00834050798386537,0.5935874076848756,0.010743784299145282,0.6007599746675111,0.608343754815675,0.6009749649515482,0.5939423243359951,0.608391636866149,0.6007599746675111,0.5938556875282632,0.5792646172393008,0.7315402182187262,0.6465575241085445,0.6374228923920493,0.47040971168437024,0.5413271245634459
